  series id  , year , period , value  
 LNS11000000 ,2019,  M12   ,164556
 LNS11000000 ,2019,  M11   ,164347
 LNS11000000 ,2019,  M10   ,164401
 LNS11000000 ,2019,  M09   ,164051
 LNS11000000 ,2019,  M08   ,163894
 LNS11000000 ,2019,  M07   ,163373
 LNS11000000 ,2019,  M06   ,163133
 LNS11000000 ,2019,  M05   ,162782
 LNS11000000 ,2019,  M04   ,162546
 LNS11000000 ,2019,  M03   ,162935
 LNS11000000 ,2019,  M02   ,163047
 LNS11000000 ,2019,  M01   ,163142
 LNS11000000 ,2018,  M12   ,163111
 LNS11000000 ,2018,  M11   ,162662
 LNS11000000 ,2018,  M10   ,162605
 LNS11000000 ,2018,  M09   ,162078
 LNS11000000 ,2018,  M08   ,161768
 LNS11000000 ,2018,  M07   ,162173
 LNS11000000 ,2018,  M06   ,162269
 LNS11000000 ,2018,  M05   ,161874
 LNS11000000 ,2018,  M04   ,161742
 LNS11000000 ,2018,  M03   ,161684
 LNS11000000 ,2018,  M02   ,161783
 LNS11000000 ,2018,  M01   ,161068
 LNS11000000 ,2017,  M12   ,160538
 LNS11000000 ,2017,  M11   ,160510
 LNS11000000 ,2017,  M10   ,160378
 LNS11000000 ,2017,  M09   ,161212
 LNS11000000 ,2017,  M08   ,160690
 LNS11000000 ,2017,  M07   ,160339
 LNS11000000 ,2017,  M06   ,160232
 LNS11000000 ,2017,  M05   ,160060
 LNS11000000 ,2017,  M04   ,160309
 LNS11000000 ,2017,  M03   ,160066
 LNS11000000 ,2017,  M02   ,159767
 LNS11000000 ,2017,  M01   ,159647
 LNS11000000 ,2016,  M12   ,159710
 LNS11000000 ,2016,  M11   ,159551
 LNS11000000 ,2016,  M10   ,159734
 LNS11000000 ,2016,  M09   ,159817
 LNS11000000 ,2016,  M08   ,159579
 LNS11000000 ,2016,  M07   ,159123
 LNS11000000 ,2016,  M06   ,158973
 LNS11000000 ,2016,  M05   ,158787
 LNS11000000 ,2016,  M04   ,158981
 LNS11000000 ,2016,  M03   ,159103
 LNS11000000 ,2016,  M02   ,158653
 LNS11000000 ,2016,  M01   ,158342
 LNS11000000 ,2015,  M12   ,158035
 LNS11000000 ,2015,  M11   ,157463
 LNS11000000 ,2015,  M10   ,157167
 LNS11000000 ,2015,  M09   ,156733
 LNS11000000 ,2015,  M08   ,157172
 LNS11000000 ,2015,  M07   ,156997
 LNS11000000 ,2015,  M06   ,157062
 LNS11000000 ,2015,  M05   ,157651
 LNS11000000 ,2015,  M04   ,157060
 LNS11000000 ,2015,  M03   ,156643
 LNS11000000 ,2015,  M02   ,156644
 LNS11000000 ,2015,  M01   ,157030
 LNS12000000 ,2019,  M12   ,158803
 LNS12000000 ,2019,  M11   ,158536
 LNS12000000 ,2019,  M10   ,158544
 LNS12000000 ,2019,  M09   ,158298
 LNS12000000 ,2019,  M08   ,157895
 LNS12000000 ,2019,  M07   ,157346
 LNS12000000 ,2019,  M06   ,157148
 LNS12000000 ,2019,  M05   ,156844
 LNS12000000 ,2019,  M04   ,156696
 LNS12000000 ,2019,  M03   ,156741
 LNS12000000 ,2019,  M02   ,156866
 LNS12000000 ,2019,  M01   ,156627
 LNS13000000 ,2019,  M12   ,5753
 LNS13000000 ,2019,  M11   ,5811
 LNS13000000 ,2019,  M10   ,5857
 LNS13000000 ,2019,  M09   ,5753
 LNS13000000 ,2019,  M08   ,5999
 LNS13000000 ,2019,  M07   ,6027
 LNS13000000 ,2019,  M06   ,5985
 LNS13000000 ,2019,  M05   ,5938
 LNS13000000 ,2019,  M04   ,5850
 LNS13000000 ,2019,  M03   ,6194
 LNS13000000 ,2019,  M02   ,6181
 LNS13000000 ,2019,  M01   ,6516
